grid_size,genome_size,mutation_rate,num_threads,omp_singleMeasure_multipleParallelFor,omp_singleMeasure_oneParallelFor,omp_singleMeasure_oneParallelFor_bitset,omp_singleMeasure_oneParallelSectionMultipleFor,seq_singleMeasure_multipleFor,seq_singleMeasure_oneFor,seq_singleMeasure_oneFor_bitset
32,2000,9.999999999999999e-06,26,148.82,92.18,82.454,147.623,-1,-1,-1
32,2000,9.999999999999999e-06,32,182.363,118.594,79.085,125.017,-1,-1,-1
32,2000,9.999999999999999e-06,48,523.545,519.761,214.022,347.019,-1,-1,-1
32,2000,9.999999999999999e-06,64,462.68,375.883,164.544,454.302,-1,-1,-1
32,4000,9.999999999999999e-06,1,947.311,862.189,808.39,930.994,938.214,905.72,810.251
32,4000,9.999999999999999e-06,2,786.748,670.168,655.758,762.483,-1,-1,-1
32,4000,9.999999999999999e-06,4,467.848,400.362,378.976,445.035,-1,-1,-1
32,4000,9.999999999999999e-06,6,363.659,233.053,276.849,319.974,-1,-1,-1
32,4000,9.999999999999999e-06,8,293.027,223.755,192.392,257.165,-1,-1,-1
32,4000,9.999999999999999e-06,12,221.366,177.157,179.201,205.887,-1,-1,-1
32,4000,9.999999999999999e-06,16,207.805,144.903,183.967,205.782,-1,-1,-1
32,4000,9.999999999999999e-06,20,205.085,181.806,154.115,187.684,-1,-1,-1
32,4000,9.999999999999999e-06,26,215.164,158.264,154.405,173.455,-1,-1,-1
